FID IID FATHER_ID MOTHER_ID proband parental
21_197 21_197_0 NA NA -2.9485571 -3.3778064
21_197 21_197_1 NA NA -1.257238 -3.3778064
21_198 21_198_0 NA NA -0.57901746 -1.85755
21_198 21_198_1 NA NA -2.0306218 -1.85755
21_199 21_199_0 NA NA -1.1561366 -1.5147573
21_199 21_199_1 NA NA -1.0542253 -1.5147573
21_200 21_200_0 NA NA -1.007267 -1.4281262
21_200 21_200_1 NA NA -1.1698445 -1.4281262
21_201 21_201_0 NA NA -0.35566294 -1.3647038
21_201 21_201_1 NA NA -1.2865542 -1.3647038
21_202 21_202_0 NA NA 0.115396895 -0.8019715
21_202 21_202_1 NA NA -0.1859538 -0.8019715
21_203 21_203_0 NA NA -1.9625263 -2.729613
21_203 21_203_1 NA NA -2.110823 -2.729613
21_204 21_204_0 NA NA -1.0995736 -1.2192408
21_204 21_204_1 NA NA -0.5691857 -1.2192408
21_205 21_205_0 NA NA -1.74471 -3.2588575
21_205 21_205_1 NA NA -1.7724044 -3.2588575
21_206 21_206_0 NA NA -1.0623128 -0.6944994
21_206 21_206_1 NA NA 0.0980224 -0.6944994
21_207 21_207_0 NA NA -1.370677 -1.2454302
21_207 21_207_1 NA NA -0.86931294 -1.2454302
21_208 21_208_0 NA NA -2.9497104 -3.3113425
21_208 21_208_1 NA NA -2.1525583 -3.3113425
21_209 21_209_0 NA NA 0.090935275 -1.2292883
21_209 21_209_1 NA NA -1.422159 -1.2292883
21_210 21_210_0 NA NA -1.3528949 -1.8182127
21_210 21_210_1 NA NA -2.0234587 -1.8182127
21_211 21_211_0 NA NA -3.4545355 -2.8144426
21_211 21_211_1 NA NA -0.7407025 -2.8144426
21_212 21_212_0 NA NA -3.0269775 -3.9638448
21_212 21_212_1 NA NA -2.6293879 -3.9638448
21_213 21_213_0 NA NA 0.60726196 0.24604371
21_213 21_213_1 NA NA 0.60569906 0.24604371
21_214 21_214_0 NA NA -0.91383314 0.075327694
21_214 21_214_1 NA NA 1.2251277 0.075327694
21_215 21_215_0 NA NA -2.5049472 -2.897727
21_215 21_215_1 NA NA -1.4620289 -2.897727
